X,Y,Z
0,0,25.168684
1,1,26.298433
2,2,26.807354
3,3,26.955719
4,4,28.512135
5,5,26.936462
6,6,27.591139
7,7,29.561575
8,8,30.112318
9,9,27.797546
10,10,31.128805
11,11,31.128805
12,12,28.319132
13,13,30.258606
14,14,47.113556
15,15,32.746407
16,16,34.646488
17,17,34.181923
18,18,32.991272
19,19,33.475929
20,20,33.475929
21,21,33.823105
22,22,33.220913
23,23,34.787106
24,24,34.779129
25,25,33.206867
26,26,38.227993
27,27,33.554276
28,28,34.475651
29,29,34.376732
30,30,64.403847
31,31,35.732273
32,32,40.041748
33,33,60.455238
34,34,36.803722
35,35,35.217976
36,36,51.351898
37,37,37.15197
38,38,37.826969
39,39,37.08736
40,40,38.661076
41,41,36.377655
42,42,38.71656
43,43,36.845623
44,44,38.282612
45,45,36.845623
46,46,41.916519
47,47,51.505672
48,48,37.887215
49,49,43.460873
50,50,61.377693
51,51,38.871292
52,52,44.0257
53,53,62.793682
54,54,48.741718
55,55,69.844238
56,56,72.935257
57,57,68.012474
58,58,54.895367
59,59,45.234051
60,60,44.0798
61,61,39.883018
62,62,34.506351
63,63,32.919998
64,64,39.517979
65,65,39.619164
66,66,41.747551
67,67,46.928719
68,68,51.532227
69,69,61.64922
70,70,59.071487
71,71,81.42366
72,72,60.200069
73,73,33.978146
74,74,32.367737
75,75,33.823105
76,76,40.76228
77,77,44.027386
78,78,38.74276
79,79,34.906345
80,80,35.629314
81,81,59.245014
82,82,74.865395
83,83,35.137936
84,84,39.012657
85,85,29.285479
86,86,34.889706
87,87,37.08004
88,88,32.602776
89,89,34.516716
90,90,65.259476
91,91,35.677273
92,92,41.029594
93,93,35.201656
94,94,39.359337
95,95,45.582211
96,96,39.769138
97,97,33.384975
98,98,32.334259
99,99,32.224815
100,100,32.798
101,101,32.902473
102,102,33.654797
103,103,34.238632
104,104,33.301064
105,105,33.712006
106,106,33.728195
107,107,36.549999
108,108,36.171455
109,109,35.134968
110,110,35.906624
111,111,35.832199
112,112,37.061516
113,113,39.931244
114,114,39.389004
115,115,41.093365
116,116,40.986244
117,117,43.278553
118,118,38.170464
119,119,40.746887
120,120,41.286774
121,121,39.219826
122,122,39.659966
123,123,45.137974
124,124,32.919998
125,125,37.867783
126,126,34.694187
127,127,38.1968
128,128,40.704224
129,129,32.497814
130,130,30.734648
131,131,30.153448
132,132,33.148739
133,133,33.476479
134,134,34.369717
135,135,34.014515
136,136,32.955166
137,137,32.98621
138,138,26.806501
139,139,28.028242
140,140,30.674139
141,141,30.600889
142,142,28.066189
143,143,31.776945
144,144,34.149174
145,145,33.605106
146,146,35.622055
147,147,36.700558
148,148,35.772293
149,149,34.560413
150,150,34.388855
151,151,28.203201
152,152,27.81501
153,153,31.170507
154,154,31.614841
155,155,29.850033
156,156,30.111652
157,157,32.532944
158,158,32.737179
159,159,32.248192
160,160,32.288059
161,161,43.668953
162,162,35.363304
163,163,34.088215
164,164,33.858734
165,165,36.14809
166,166,37.955154
167,167,36.846794
168,168,38.161755
169,169,34.683777
170,170,33.045177
171,171,34.642406
172,172,35.940582
173,173,39.432652
174,174,38.506065
175,175,41.552258
176,176,42.740974
177,177,43.265541
178,178,43.673252
179,179,44.984703
180,180,36.819046
181,181,44.189133
182,182,57.842575
183,183,53.202263
184,184,43.923676
185,185,50.699482
186,186,39.797821
187,187,39.317242
188,188,37.977623
189,189,37.922848
190,190,35.822945
191,191,35.69257
192,192,37.353191
193,193,45.146461
194,194,46.99509
195,195,53.115673
196,196,33.067192
197,197,33.223679
198,198,34.80666
199,199,47.138893
200,200,28.381817
